Provider ID,Provider Case,Provider Name,License ID,Current License Start Date,Current License End Date,License Type,Provider Program Type,Address 1,Address 2,Provider Town,Zip Code,Phone Number,Email Address,County,AHS District,Total Licensed Capacity,Infant Licensed Capacity,Toddler Licensed Capacity,Preschool Licensed Capacity,School Age Licensed Capacity,Special Services Status,Provider Referral Status,Current STARS Level,Reported Food Program Participation,Accreditation,Accreditation Start Date,Accreditation End Date,Reported Desired Infant Capacity,Reported Desired Toddler Capacity,Reported Desired Preschool Capacity,Reported Desired School Age Capacity,Reported Infant Vacancies,Reported Toddler Vacancies,Reported Preschool Vacancies,Reported School Age Vacancies,Date Capacity and Vacancies Reported,Special Schedule,Usual Program Start,Usual Program End,Location 1,Prequalified Prekindgarten Program,Prequalified Prekindgarten Start Date,Prequalified Prekindgarten End Date
220977,149726,Champlain Valley Head Start Early Learning Center @ JFK,61774,09/06/2015,09/03/2016,Licensed Provider,Licensed - Early Childhood,JFK Elementary School,70 Normand Street,Winooski,05404,(802) 383-6173,sgraves@cvoeo.org,Chittenden,BDO,17,0,0,17,0,No,Inactive,3 Star,1,,,,0,0,17,0,0,0,0,0,07/24/2015,,8:00 AM,12:00 PM,"JFK Elementary School
Winooski, Vermont 05404
",Prequalified PreK Program - Privately Operated,05/13/2015 12:00:00 AM,05/13/2018 12:00:00 AM
219811,148897,Rutland County Head Start - Hickory Street,61781,09/06/2015,09/17/2016,Licensed Provider,Licensed - Early Childhood,15 Juneberry Lane,0,Rutland,05701,(802) 747-7547,cfortier@rmhsccn.org,Rutland,RDO,20,0,0,20,0,Yes,Active,5 Star,1,,,,0,0,18,0,0,0,5,0,10/16/2015,,7:30 AM,5:00 PM,"15 Juneberry Lane
Rutland, Vermont 05701
",Prequalified PreK Program - Privately Operated,08/24/2015 12:00:00 AM,08/24/2018 12:00:00 AM
194697,127632,ABC Academy ,55634,07/26/2015,07/23/2016,Licensed Provider,Licensed - Early Childhood,349 Route 7 South ,#105,Milton,05468,(802) 893-2223,abcacademy2223@gmail.com,Chittenden,BDO,42,4,5,20,13,Yes,Active,4 Star,0,,,,4,5,20,13,4,0,0,5,09/16/2015,,6:30 AM,5:30 PM,"349 Route 7 South
Milton, Vermont 05468
",Prequalified PreK Program - Privately Operated,05/13/2015 12:00:00 AM,05/13/2018 12:00:00 AM
195609,128305,Amazing Spaces Child Care ,56540,09/20/2015,09/17/2016,Licensed Provider,Licensed - Early Childhood,Route 78 ,0,Highgate,05459,(802) 868-2664,aer21377@gmail.com,Franklin,ADO,28,4,5,6,13,Yes,Active,,0,,,,2,2,2,4,2,0,0,0,12/29/2015,,,,"Route 78
Highgate, Vermont 05459
",,,
2231,1596,"Springfield Learning Garden, Inc",38,01/24/2016,01/21/2017,Licensed Provider,Licensed - Early Childhood,31-33 Pleasant Street,0,Springfield,05156,(802) 885-5077,crystalsalo@hotmail.com,Windsor,SDO,30,4,5,19,2,Yes,Active,4 Star,0,,,,4,5,25,0,4,1,3,0,12/15/2015,,6:30 AM,5:30 PM,"31-33 Pleasant Street
Springfield, Vermont 05156
",Prequalified PreK Program - Privately Operated,03/12/2015 12:00:00 AM,03/12/2018 12:00:00 AM
193834,127073,"Ascension Childcare, Inc",57858,11/01/2015,11/12/2016,Licensed Provider,Licensed - Early Childhood,2386 Shelburne Road,0,Shelburne,05482,(802) 658-0212,acckatie@myfairpoint.net,Chittenden,BDO,64,16,19,28,1,Yes,Active,5 Star,0,NAEYC,06/01/2011,06/01/2016,16,19,29,0,16,0,0,0,09/17/2015,,7:30 AM,5:30 PM,"2386 Shelburne Road
Shelburne, Vermont 05482
",Prequalified PreK Program - Privately Operated,06/19/2015 12:00:00 AM,06/19/2018 12:00:00 AM
228496,155498,Orange County Parent Child Center,67117,09/20/2015,09/17/2016,Licensed Provider,Licensed - Early Childhood,693 VT Rte110,0,Tunbridge,05077,(802) 889-9472,gabby@orangecountypcc.org,Orange,HDO,55,8,10,37,0,Yes,Active,4 Star,0,,,,8,10,30,0,8,0,1,0,12/11/2015,,7:30 AM,5:30 PM,"693 VT Rte110
Tunbridge, Vermont 05077
",Prequalified PreK Program - Privately Operated,09/20/2015 12:00:00 AM,07/17/2018 12:00:00 AM
132182,85110,Bennington Early Childhood Center,38771,11/01/2015,11/12/2016,Licensed Provider,Licensed - Early Childhood,1506 Harwood Hill,VT Route 7A,Bennington,05201,(802) 447-1093,benningtonecc@gmail.com,Bennington,TDO,48,2,9,37,0,Yes,Active,5 Star,1,,,,0,12,33,0,0,0,6,0,12/20/2015,,7:30 AM,5:00 PM,"1506 Harwood Hill
Bennington, Vermont 05201
",Prequalified PreK Program - Privately Operated,02/23/2015 12:00:00 AM,02/23/2018 12:00:00 AM
2754,1947,"Bennington County Headstart P.L.U.S. North Bennington, Park St, n)",1014,01/25/2016,01/21/2017,Licensed Provider,Licensed - Early Childhood,2 Park Street,0,Bennington,05201,(802) 442-3686,brgunn@ucsvt.org,Bennington,TDO,72,0,0,72,0,Yes,Active,5 Star,0,NAEYC,07/01/2011,07/01/2016,0,0,34,0,0,0,0,0,10/28/2015,,8:00 AM,4:00 PM,"2 Park Street
Bennington, Vermont 05201
",Prequalified PreK Program - Privately Operated,03/12/2015 12:00:00 AM,03/12/2018 12:00:00 AM
38710,155554,"Hackett, Kelley  ",63954,03/22/2015,03/19/2016,Registered Home,Registered,340 Fuller Acres,0,Waterbury,05677,(802) 355-8281,kjohack@gmail.com,Washington ,MDO,0,0,0,0,0,No,Active,4 Star,1,,,,0,0,6,0,0,0,0,0,09/15/2015,,,,"340 Fuller Acres
Waterbury, Vermont 05677
",Prequalified PreK Program - Privately Operated,05/13/2015 12:00:00 AM,05/13/2018 12:00:00 AM
132751,85528,Isle La Motte Elementary,38692,09/20/2015,09/17/2016,Licensed Provider,Licensed - Early Childhood,42 School Street Ext,0,Isle La Motte,05463,(802) 928-3231,colcobb@gisu.org,Grand Isle,ADO,10,0,0,10,0,No,Inactive,4 Star,0,,,,0,0,10,0,0,0,0,0,01/03/0001,,7:30 AM,2:15 PM,"42 School Street Ext
Isle La Motte, Vermont 05463
",Prequalified PreK Program - Public School,08/14/2015 12:00:00 AM,08/14/2018 12:00:00 AM
138564,89091,North Hero Preschool,46154,07/12/2015,07/09/2016,Licensed Provider,Licensed - Early Childhood,6441 Route 2,0,North Hero,05474,(802) 372-8866,josrest@gisu.org,Grand Isle,ADO,20,0,0,20,0,No,Inactive,4 Star,1,,,,0,0,10,0,0,0,0,0,09/27/2015,,8:00 AM,2:30 PM,"6441 Route 2
North Hero, Vermont 05474
",Prequalified PreK Program - Public School,08/30/2015 12:00:00 AM,08/30/2018 12:00:00 AM
28232,13216,Franklin Preschool,13023,09/06/2015,09/03/2016,Licensed Provider,Licensed - Early Childhood,146 School Street,0,Franklin,05457,(802) 285-2100,jdewing@fnwsu.org,Franklin,ADO,22,0,0,22,0,Yes,Active,4 Star,0,,,,0,0,15,0,0,0,3,0,01/03/0001,,7:45 AM,3:15 PM,"146 School Street
Franklin, Vermont 05457
",Prequalified PreK Program - Public School,03/12/2015 12:00:00 AM,03/12/2018 12:00:00 AM
228806,155867,Preschool at the Jay/Westfield JES ,66496,08/22/2015,08/20/2016,Licensed Provider,Licensed - Early Childhood,257 Revoir Flats ,0,Jay,05859,(802) 988-4042,kristy.ellis@ncsuvt.org,Orleans,NDO,15,0,0,15,0,No,Inactive,5 Star,1,,,,0,0,15,0,0,0,0,0,12/07/2015,,9:00 AM,4:00 PM,"257 Revoir Flats
Jay, Vermont 05859
",Prequalified PreK Program - Public School,10/13/2015 12:00:00 AM,10/13/2018 12:00:00 AM
220589,149474,Windsor Southeast SU Early Childhood Program (WSSU-ECP),61575,08/23/2015,09/03/2016,Licensed Provider,Licensed - Early Childhood,State Street School,127 State St.,Windsor,05089,(802) 674-8289,jcrow@wsesu.net,Windsor,SDO,20,0,0,20,0,No,Active,5 Star,1,,,,0,0,18,0,0,0,0,0,10/30/2015,,8:30 AM,3:00 PM,"State Street School
Windsor, Vermont 05089
",Prequalified PreK Program - Public School,03/25/2015 12:00:00 AM,03/25/2018 12:00:00 AM
171693,111646,Reading Elementary School,50016,05/31/2015,06/11/2016,Licensed Provider,Licensed - Early Childhood,632 VT Route 106 ,Reading Elementary School,Reading,05062,(802) 484-7230,zzullo@wcsu.net,Windsor,SDO,20,0,0,20,0,No,Active,3 Star,1,,,,0,0,20,0,0,0,6,0,10/16/2015,,7:45 AM,11:45 AM,"632 VT Route 106
Reading, Vermont 05062
",Prequalified PreK Program - Public School,05/08/2015 12:00:00 AM,05/08/2018 12:00:00 AM
3685,2628,"Washington Central Supervisory Union EarlyEducatio, n Program @ Calais",1617,11/29/2015,11/26/2016,Licensed Provider,Licensed - Early Childhood,321 Lightening Ridge Road,0,Calais,05667,(802) 454-7777,edowning@u32.org,Washington ,MDO,15,0,0,15,0,Yes,Inactive,4 Star,0,,,,0,0,20,0,0,0,0,0,01/03/0001,,8:45 AM,12:00 PM,"321 Lightening Ridge Road
Calais, Vermont 05667
",Prequalified PreK Program - Public School,04/18/2015 12:00:00 AM,04/18/2018 12:00:00 AM
3680,2625,"Rivendell Interstate School District Early Childhood Program, od Program",1616,11/28/2015,11/26/2016,Licensed Provider,Licensed - Early Childhood,744 Route 113,Westshire  Elementary School,West Fairlee,03777,(802) 333-4668,kfoltz@rivendellschool.org,Orange,HDO,30,0,0,30,0,Yes,Active,5 Star,0,,,,0,0,30,0,0,0,0,0,12/07/2015,,8:00 AM,3:00 PM,"744 Route 113
West Fairlee, Vermont 03777
",Prequalified PreK Program - Public School,03/23/2015 12:00:00 AM,03/23/2018 12:00:00 AM
196785,129172,Twin Valley Elementary School,56274,09/20/2015,10/01/2016,Licensed Provider,Licensed - Early Childhood,360 Route 100 N,0,Wilmington,05363,(802) 464-5177,cmandracchia@dves.k12.vt.us,Windham,LDO,26,0,0,26,0,No,Inactive,5 Star,1,,,,0,0,40,0,0,0,8,0,09/29/2015,,8:00 AM,2:30 PM,"360 Route 100 N
Wilmington, Vermont 05363
",Prequalified PreK Program - Public School,07/08/2015 12:00:00 AM,07/08/2018 12:00:00 AM
3119,2215,Green Mountain Children's Center Infant,1323,12/12/2015,12/10/2016,Licensed Provider,Licensed - Early Childhood,92 Farm View Drive,Vermont State Office Complex ,Hartford,05001,(802) 296-2296,tricia.kirshneur@gmccvt.org,Windsor,HDO,24,12,12,0,0,Yes,Active,5 Star,0,NAEYC,07/01/2013,07/01/2018,16,8,0,0,16,0,0,0,11/04/2015,,7:00 AM,6:00 PM,"92 Farm View Drive
Hartford, Vermont 05001
",,,
2947,2092,"Home Away From Home Preschool & ChildCare Center, , Inc.",1188,05/31/2015,06/11/2016,Licensed Provider,Licensed - Early Childhood,108 Equinox Terrace Road,0,Manchester,05255,(802) 362-5823,debwyman@Hotmail.com,Bennington,TDO,28,8,5,10,5,Yes,Active,3 Star,0,,,,12,10,5,5,12,0,0,0,10/25/2015,,7:15 AM,5:30 PM,"108 Equinox Terrace Road
Manchester, Vermont 05255
",,,
245759,172917,Kangaroo Kids Care,67254,09/06/2015,09/03/2016,Licensed Provider,Licensed - Early Childhood,Roxbury Village School,1559 Roxbury Road,Roxbury,05664,(802) 353-4729,KangarooKCJA@yahoo.com,Washington ,MDO,20,0,0,18,2,Yes,Inactive,,0,,,,0,0,5,5,0,0,10,0,01/03/0001,,,,"Roxbury Village School
Roxbury, Vermont 05664
",,,
82380,40465,Barnard Academy Pre-K Program ,26680,07/12/2015,07/23/2016,Licensed Provider,Licensed - Early Childhood,5979 US Route 12,0,Barnard,05031,(802) 234-9763,ijohnson@wcsu.net,Windsor,HDO,20,0,0,20,0,No,Active,3 Star,0,,,,0,0,10,0,0,0,2,0,12/10/2015,,8:00 AM,11:30 AM,"5979 US Route 12
Barnard, Vermont 05031
",,,
143943,92687,Newton  Academy Preschool & Child Care Center,41310,05/03/2015,05/01/2016,Licensed Provider,Licensed - Early Childhood,Rte 74,Town Green,Shoreham,05770,(802) 897-5515,deangelis@shoreham.net,Addison,YDO,18,4,4,10,0,Yes,Active,3 Star,0,,,,8,0,10,0,8,0,3,0,10/26/2015,,6:30 AM,5:00 PM,"Rte 74
Shoreham, Vermont 05770
",,,
162129,105760,Red Doors Children's Center,51220,08/23/2015,08/20/2016,Licensed Provider,Licensed - Early Childhood,61 US Rte 5,0,Sutton,05867,(802) 473-0700,jmwilliams0618@gmail.com,Caledonia,JDO,20,4,4,10,2,Yes,Active,3 Star,0,,,,4,4,10,2,4,0,0,0,12/24/2015,,7:00 AM,6:00 PM,"61 US Rte 5
Sutton, Vermont 05867
",,,
3851,2758,"Village Early Learning Center, Inc.",1661,11/28/2015,11/26/2016,Licensed Provider,Licensed - Early Childhood,24 Main Street,0,Rockingham,05154,(802) 869-5437,velcsaxtonsriver@gmail.com,Windham,SDO,20,0,10,9,1,Yes,Active,2 Star,0,,,,0,10,12,0,0,0,4,0,09/15/2015,,7:15 AM,5:15 PM,"24 Main Street
Rockingham, Vermont 05154
",,,
220171,149111,"Round Hill Kids, LLC",61596,08/22/2015,08/20/2016,Licensed Provider,Licensed - Early Childhood,5186 Vermont Route 100,0,Hyde Park,05655,(802) 635-2020,bhoadley@comcast.net,Lamoille,VDO,24,4,8,12,0,Yes,Active,3 Star,0,,,,4,8,12,0,4,1,2,0,12/08/2015,,7:00 AM,5:30 PM,"5186 Vermont Route 100
Hyde Park, Vermont 05655
",,,
149265,96399,Potter's House School,44698,10/31/2015,10/29/2016,Licensed Provider,Licensed - Early Childhood,1615 Maple Street,0,Hartford,05047,(802) 296-8400,pottershousevt@hotmail.com,Windsor,HDO,38,8,10,20,0,Yes,Active,2 Star,0,,,,16,10,12,0,16,0,6,0,12/08/2015,,7:30 AM,5:30 PM,"1615 Maple Street
Hartford, Vermont 05047
",,,
229709,156829,Coventry Village School Preschool,66515,08/22/2015,08/20/2016,Licensed Provider,Licensed - Early Childhood,348 Route 5,0,Coventry,05825,(802) 754-6464,matthew.baughman@ncsuvt.org,Orleans,NDO,13,0,0,13,0,No,Inactive,3 Star,1,,,,0,0,13,0,0,0,0,0,12/05/2015,,8:00 AM,11:00 AM,"348 Route 5
Coventry, Vermont 05825
",,,
145300,93660,Jay Peak Child Care,42332,06/28/2015,06/25/2016,Licensed Provider,Licensed - Early Childhood,844 Jay Peak Road,0,Jay,05859,(802) 988-2611,stetreault@jaypeakresort.com,Orleans,NDO,30,5,5,10,10,No,Inactive,,0,,,,6,6,14,4,6,0,0,0,12/10/2015,,7:00 AM,5:00 PM,"844 Jay Peak Road
Jay, Vermont 05859
",,,
3055,2169,BTC Kid Connection Center,1273,12/12/2015,12/10/2016,Licensed Provider,Licensed - Early Childhood,155 Ayer Street,Barre Vocational Technical Center,Barre City,05641,(802) 477-5245,lhebebtc@u61.net,Washington ,MDO,15,0,0,15,0,Yes,Active,Not Rated,0,,,,0,0,20,0,0,0,0,0,11/16/2015,,8:30 AM,12:30 PM,"155 Ayer Street
Barre City, Vermont 05641
",,,
223197,151329,"Suzys Little Peanuts Day School, LLC  II",62474,11/01/2015,11/12/2016,Licensed Provider,Licensed - Early Childhood,"5075 Rte 5, Unit A, Box 122",0,Weathersfield,05030,(802) 546-4499,slpascutney@gmail.com,Windsor,SDO,38,8,10,10,10,Yes,Active,3 Star,0,,,,6,10,20,10,6,1,6,8,01/14/2015,,6:30 AM,5:30 PM,"5075 Rte 5, Unit A, Box 122
Weathersfield, Vermont 05030
",,,
2787,1971,4 Corners Childrens Center  Inc.,1036,08/23/2015,09/03/2016,Licensed Provider,Licensed - Early Childhood,29 Brownsville Road,Hartland Four Corner,Hartland,05049,(802) 436-3117,4cornerschildrenscenter@gmail.com,Windsor,HDO,50,10,15,20,5,Yes,Active,4 Star,0,,,,8,12,20,0,8,0,0,0,11/04/2015,,7:30 AM,5:30 PM,"29 Brownsville Road
Hartland, Vermont 05049
",,,
42731,19284,Sunshine Children's Center,14954,12/13/2015,12/10/2016,Licensed Provider,Licensed - Early Childhood,13 Washington Street Ext,0,Middlebury,05753,(802) 388-3866,sunshinecc@myfairpoint.net,Addison,YDO,24,0,0,24,0,Yes,Active,4 Star,0,,,,0,0,24,0,0,0,0,0,10/19/2015,,7:30 AM,5:30 PM,"13 Washington Street Ext
Middlebury, Vermont 05753
",,,
177025,115243,Turtles 'n Tots Daycare,50554,06/28/2015,06/25/2016,Licensed Provider,Licensed - Early Childhood,29 George Hill Road,0,Johnson,05656,(802) 635-6767,turtlesntots@myfairpoint.net,Lamoille,VDO,51,8,7,30,6,Yes,Active,3 Star,0,,,,8,7,30,5,8,0,4,0,01/08/2016,,7:00 AM,5:30 PM,"29 George Hill Road
Johnson, Vermont 05656
",,,
228325,155364,New Beginnings III,63474,02/08/2015,02/06/2016,Licensed Provider,Licensed - Early Childhood,2284 US Rte 302,0,Wells,05081,(802) 429-2131,mabakervt@aol.com,Rutland,RDO,110,16,30,40,24,Yes,Active,,0,,,,16,30,40,24,16,6,10,4,12/24/2015,,,,"2284 US Rte 302
Wells, Vermont 05081
",,,
228494,155496,Kingdom Montessori at Thaddeus Stevens School,66735,08/23/2015,08/20/2016,Licensed Provider,Licensed - Early Childhood,39 Mattie Circle,0,Lyndon,05850,(802) 626-0370,jhansen.thaddeusstevens@gmail.com,Caledonia,JDO,15,0,0,15,0,No,Inactive,,0,,,,0,0,15,0,0,0,0,0,01/03/0001,,,,"39 Mattie Circle
Lyndon, Vermont 05850
",,,
49796,22092,New Leaf Montessori,18893,10/18/2015,10/15/2016,Licensed Provider,Licensed - Family Child Care,484 Maple Street,0,Leicester,05733,(802) 247-1274,newleafmontessori@pshift.com,Addison,YDO,12,0,2,10,0,Yes,Active,1 Star,0,,,,0,0,12,0,0,0,0,0,10/07/2015,,7:30 AM,5:00 PM,"484 Maple Street
Leicester, Vermont 05733
",,,
185953,120969,J CARE,52974,01/10/2016,01/07/2017,Licensed Provider,Licensed - Non-Recurring,47 Queens Road,0,Jay,05859,(802) 988-2713,lbedard@jaypeakresort.com,Orleans,NDO,15,5,10,0,0,No,Inactive,,0,,,,5,5,5,0,5,0,0,0,09/24/2015,,8:30 AM,4:00 PM,"47 Queens Road
Jay, Vermont 05859
",,,
3950,2831,Honey Bear Child Care Center,1696,01/11/2015,01/09/2016,Licensed Provider,Licensed - Non-Recurring,4302 Bolton Access Road,0,Bolton,05477,(802) 434-6866,childcare@boltonvalley.com,Chittenden,BDO,30,8,6,14,2,No,Active,,0,,,,8,5,5,5,8,2,2,2,09/23/2014,,7:00 AM,10:00 PM,"4302 Bolton Access Road
Bolton, Vermont 05477
",,,
4256,3071,Okemo Limited Liability Company At Jackson Gore,1777,02/08/2015,02/06/2016,Licensed Provider,Licensed - Non-Recurring,111 Jackson Gore Road,Jackson Gore Inn,Ludlow,05149,(802) 228-1441,esherman@okemo.com,Windsor,SDO,40,8,10,20,2,Yes,Active,Not Rated,0,,,,0,0,40,0,0,0,10,0,12/23/2015,,6:30 AM,10:00 PM,"111 Jackson Gore Road
Ludlow, Vermont 05149
",,,
220421,149329,Jackson Gore at Okemo Mountain Resort Summer Camp,61154,07/12/2015,07/09/2016,Licensed Provider,Licensed - Non-Recurring,111 Jackson Gore Road,0,Ludlow,05149,(802) 228-1457,esherman@okemo.com,Windsor,SDO,30,0,0,5,25,Yes,Inactive,,0,,,,0,0,0,30,0,0,0,0,09/29/2015,,8:00 AM,4:30 PM,"111 Jackson Gore Road
Ludlow, Vermont 05149
",,,
197796,129934,Village School of North Bennington Daycare,58134,12/13/2015,12/10/2016,Licensed Provider,Licensed - School Age,9 School Street,0,Bennington,05201,(802) 442-5955,ltoomey@vsnb.org,Bennington,TDO,25,0,0,0,25,Yes,Active,,0,,,,0,0,0,26,0,0,0,0,12/23/2015,,6:30 AM,5:00 PM,"9 School Street
Bennington, Vermont 05201
",,,
225050,152562,Weathersfield School District School Age Program,62415,11/01/2015,11/12/2016,Licensed Provider,Licensed - School Age,Weathersfield School,135 Schoolhouse Road,Weathersfield,05030,(802) 674-5400,jessica.sivret@wsesu.net,Windsor,SDO,60,0,0,0,60,No,Active,,0,,,,0,0,0,60,0,0,0,10,10/16/2015,,2:30 PM,5:00 PM,"Weathersfield School
Weathersfield, Vermont 05030
",,,
3192,2277,"Thetford After School Program, Inc.",1364,12/12/2015,12/10/2016,Licensed Provider,Licensed - School Age,2689 Route 113,Thetford Elementary School,Thetford,05074,(802) 785-2426,bemis.brittany@gmail.com,Orange,HDO,50,0,0,0,50,No,Active,,0,,,,0,0,0,50,0,0,0,0,10/30/2015,,2:30 PM,5:30 PM,"2689 Route 113
Thetford, Vermont 05074
",,,
243933,171218,Newton Afterschool Program,66598,08/23/2015,08/20/2016,Licensed Provider,Licensed - School Age,VT RTE 132,0,Strafford,05070,(802) 765-4351,cmcdonnell@owsu.k12.vt.us,Orange,HDO,35,0,0,0,35,No,Active,,0,,,,0,0,0,30,0,0,0,0,11/02/2015,,3:00 PM,5:30 PM,"VT RTE 132
Strafford, Vermont 05070
",,,
79629,38852,The Quechee Club,24080,12/28/2014,01/09/2016,Licensed Provider,Licensed - School Age,3369 Quechee Main Street,0,Woodstock,05059,(802) 299-2135,brian.bevacqua@quecheeclub.com,Windsor,HDO,25,0,0,0,25,No,Inactive,,0,,,,0,0,0,25,0,0,0,0,10/22/2015,,8:00 AM,6:00 PM,"3369 Quechee Main Street
Woodstock, Vermont 05059
",,,
3984,2857,"The Tapestry Program's Rutland Intermediate School,  After School Program",1707,06/28/2015,07/09/2016,Licensed Provider,Licensed - School Age,63-65 Library Avenue,0,Rutland,05701,(802) 786-1935,dhathaway@rcpsvt.org,Rutland,RDO,150,0,0,0,150,Yes,Active,5 Star,0,,,,0,0,0,150,0,0,0,12,10/15/2015,,2:30 PM,6:00 PM,"63-65 Library Avenue
Rutland, Vermont 05701
",,,
